"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-07","76","H,,S","83",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-08","80","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-09","77","H,,S","84",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-10","76","H,,S","87",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-16","80","H,,S","87",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-17","77","H,,S","87",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-21","80","H,,S","84",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-22","77","H,,S","85",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-23","76","H,,S","85",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-24","76","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-25","76","H,,S","82",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-26","74","H,,S","81",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-29","75","H,,S","81",",,S","60",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-01","76","H,,S","82",",,S","60",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-02","75","H,,S","82",",,S","61",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-03","75","H,,S","81",",,S","59",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-05","76","H,,S","86",",,S","59",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-06","78","H,,S","85",",,S","61",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-07","73","H,,S","86",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-08","75","H,,S","83",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-09","74","H,,S","83",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-10","71","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-11","77","H,,S","83",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-12","81","H,,S","86",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-13","77","H,,S","86",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-14","79","H,,S","89",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-15","79","H,,S","89",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-16","76","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-18","77","H,,S","84",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-19","81","H,,S","87",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-20","79","H,,S","87",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-21","76","H,,S","86",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-22","76","H,,S","85",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-23","77","H,,S","83",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-24","74","H,,S","82",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-27","79","H,,S","87",",,S","62",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-28","80","H,,S","88",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-29","77","H,,S","88",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-30","78","H,,S","87",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-03-31","80","H,,S","87",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-01","80","H,,S","87",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-02","78","H,,S","87",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-03","79","H,,S","83",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-04","78","H,,S","85",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-05","79","H,,S","86",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-06","78","H,,S","86",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-07","80","H,,S","86",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-08","80","H,,S","88",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-09","81","H,,S","88",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-10","80","H,,S","88",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-11","78","H,,S","87",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-12","79","H,,S","84",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-13","80","H,,S","86",",,S","66",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-15","80","H,,S","87",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-16","81","H,,S","87",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-17","81","H,,S","88",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-18","79","H,,S","88",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-19","79","H,,S","87",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-20","81","H,,S","87",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-21","80","H,,S","87",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-22","78","H,,S","85",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-23","80","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-24","83","H,,S","87",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-25","82","H,,S","87",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-26","82","H,,S","89",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-27","83","H,,S","91",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-28","82","H,,S","91",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-29","82","H,,S","90",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-04-30","81","H,,S","88",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-01","77","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-02","77","H,,S","85",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-03","81","H,,S","87",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-04","78","H,,S","87",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-05","77","H,,S","84",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-06","80","H,,S","85",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-07","80","H,,S","88",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-08","80","H,,S","87",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-09","80","H,,S","87",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-10","80","H,,S","90",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-11","81","H,,S","90",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-12","82","H,,S","89",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-13","81","H,,S","89",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-14","80","H,,S","89",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-15","83","H,,S","89",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-16","81","H,,S","89",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-17","88","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-18","80","H,,S","86",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-19","80","H,,S","86",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-20","79","H,,S","86",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-21","80","H,,S","85",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-22","83","H,,S","88",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-23","83","H,,S","90",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-24","83","H,,S","90",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-25","84","H,,S","90",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-26","83","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-27","84","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-28","83","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-29","83","H,,S","88",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-30","81","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-05-31","83","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-01","83","H,,S","91",",,S","73",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-02","83","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-03","84","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-04","80","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-05","80","H,,S","90",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-06","82","H,,S","92",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-07","85","H,,S","93",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-08","84","H,,S","92",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-09","84","H,,S","91",",,S","68",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-10","84","H,,S","90",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-11","83","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-12","82","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-13","78","H,,S","89",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-14","79","H,,S","85",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-15","82","H,,S","86",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-16","80","H,,S","88",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-17","81","H,,S","88",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-18","83","H,,S","89",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-19","84","H,,S","90",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-21","82","H,,S","89",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-22","83","H,,S","89",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-23","83","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-24","83","H,,S","89",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-25","82","H,,S","89",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-26","83","H,,S","89",",,S","69",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-27","83","H,,S","89",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-28","85","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-29","79","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-06-30","84","H,,S","90",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-01","84","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-02","84","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-03","84","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-04","83","H,,S","91",",,S","73",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-05","83","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-06","85","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-07","85","H,,S","94",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-08","85","H,,S","94",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-09","85","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-10","86","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-11","85","H,,S","93",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-12","86","H,,S","94",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-13","87","H,,S","94",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-14","85","H,,S","95",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-15","85","H,,S","92",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-16","87","H,,S","98",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-17","87","H,,S","96",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-18","86","H,,S","95",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-19","85","H,,S","93",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-20","85","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-21","86","H,,S","92",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-22","86","H,,S","92",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-23","84","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-24","85","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-25","86","H,,S","93",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-26","85","H,,S","96",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-27","84","H,,S","93",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-28","86","H,,S","93",",,S","73",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-29","85","H,,S","93",",,S","73",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-30","82","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-07-31","85","H,,S","95",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-01","85","H,,S","94",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-02","86","H,,S","92",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-03","85","H,,S","92",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-04","80","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-05","81","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-06","85","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-07","83","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-08","84","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-09","84","H,,S","94",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-10","86","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-11","86","H,,S","93",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-12","85","H,,S","97",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-13","87","H,,S","97",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-14","85","H,,S","96",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-15","83","H,,S","94",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-16","83","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-18","87","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-19","85","H,,S","94",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-20","83","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-21","84","H,,S","90",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-22","81","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-23","77","H,,S","91",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-24","77","H,,S","85",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-25","82","H,,S","89",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-26","84","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-27","82","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-28","84","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-29","85","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-30","87","H,,S","97",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-08-31","86","H,,S","96",",,S","74",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-01","84","H,,S","93",",,S","71",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-02","82","H,,S","91",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-03","81","H,,S","87",",,S","70",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-04","83","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-05","83","H,,S","91",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-06","85","H,,S","92",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-07","85","H,,S","91",",,S","73",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-08","84","H,,S","96",",,S","74",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-09","85","H,,S","90",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-10","85","H,,S","94",",,S","72",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-09-11","84","H,,S","94",",,S","73",",,S"
